timestamp,user_id,day,quiz_id,image_index,illusion_filename,user_answer,response_time,speed_group,display_time,correct_answer,line_length1,line_length2,actual_difference,arrow_length,angle,arrow_color,is_control,is_correct
2024-11-05 01:34:15,Haleygundie,1,1,0,muller_lyer_day1_illusion13.svg,Left,7.209,Group 1 - Slow,5.0,Right,185,200,-15,20,36,black,False,False
2024-11-05 01:34:22,Haleygundie,1,1,1,muller_lyer_day1_illusion27.svg,Same length,5.427,Group 1 - Slow,5.0,Same length,200,200,0,20,36,red,False,True
2024-11-05 01:34:27,Haleygundie,1,1,2,muller_lyer_day1_illusion46.svg,Left,4.179,Group 1 - Slow,5.0,Left,205,180,25,20,36,red,False,True
2024-11-05 01:34:35,Haleygundie,1,1,3,muller_lyer_day1_illusion37.svg,Right,6.192,Group 1 - Slow,5.0,Right,185,200,-15,20,36,red,False,True
2024-11-05 01:34:41,Haleygundie,1,1,4,muller_lyer_day1_illusion42.svg,Right,5.236,Group 1 - Slow,5.0,Right,185,220,-35,20,36,red,False,True
2024-11-05 01:34:46,Haleygundie,1,1,5,muller_lyer_day1_illusion5.svg,Left,3.798,Group 1 - Slow,5.0,Same length,210,210,0,20,36,black,False,False
2024-11-05 01:34:51,Haleygundie,1,1,6,muller_lyer_day1_illusion28.svg,Left,4.263,Group 1 - Slow,5.0,Same length,180,180,0,20,36,red,False,False
2024-11-05 01:34:56,Haleygundie,1,1,7,muller_lyer_day1_illusion33.svg,Same length,2.92,Group 1 - Slow,5.0,Same length,200,200,0,20,36,red,False,True
2024-11-05 01:35:00,Haleygundie,1,1,8,muller_lyer_day1_illusion9.svg,Left,3.092,Group 1 - Slow,5.0,Same length,200,200,0,20,36,black,False,False
2024-11-05 01:35:04,Haleygundie,1,1,9,muller_lyer_day1_illusion34.svg,Left,3.37,Group 1 - Slow,5.0,Same length,185,185,0,20,36,red,False,False
2024-11-05 01:35:11,Haleygundie,1,1,10,muller_lyer_day1_illusion6.svg,Same length,5.534,Group 1 - Slow,5.0,Same length,195,195,0,20,36,black,False,True
2024-11-05 01:35:18,Haleygundie,1,1,11,muller_lyer_day1_illusion25.svg,Left,5.841,Group 1 - Slow,5.0,Same length,185,185,0,20,36,red,False,False
2024-11-05 01:35:25,Haleygundie,1,1,12,muller_lyer_day1_illusion12.svg,Left,5.318,Group 1 - Slow,5.0,Same length,190,190,0,20,36,black,False,False
2024-11-05 01:35:31,Haleygundie,1,1,13,muller_lyer_day1_illusion19.svg,Same length,4.736,Group 1 - Slow,5.0,Right,200,220,-20,20,36,black,False,False
